,NAME,DATE,TAVG
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/4/13,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/4/13,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/4/13,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/4/13,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/4/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/4/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/4/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/4/13,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/4/13,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/4/13,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/4/13,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/4/13,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/4/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/4/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/4/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/4/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/4/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/4/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/4/13,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/4/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/4/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/4/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/4/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/5/13,72
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/5/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/5/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/5/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/5/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/5/13,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/5/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/5/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/5/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/5/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/5/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/5/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/5/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/5/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/5/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",31/5/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/6/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/6/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/6/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/6/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/6/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/6/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/6/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/6/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/6/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/6/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/6/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/6/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/6/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/6/13,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/7/13,72
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/7/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/7/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/7/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/7/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/7/13,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/7/13,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/7/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/7/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/7/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/7/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/7/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/7/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/7/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/7/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/7/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/7/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/7/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/7/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/7/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",31/7/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/8/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/8/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/8/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/8/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/8/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/8/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/8/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/8/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/8/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/8/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/8/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/8/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/8/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/8/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/8/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/8/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/8/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/8/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/8/13,72
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/8/13,78
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",31/8/13,79
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/9/13,74
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/9/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/9/13,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/9/13,76
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/9/13,75
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/9/13,76
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/9/13,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/9/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/9/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/9/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/9/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/9/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/9/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/9/13,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/9/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/9/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/9/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/9/13,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/9/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/9/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/9/13,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/9/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/9/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/10/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/10/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/10/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/10/13,68
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/10/13,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/10/13,76
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/10/13,71
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/10/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/10/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/10/13,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/10/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/10/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/10/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/10/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/10/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/10/13,73
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/10/13,70
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/10/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/10/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/10/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/10/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/10/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/10/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/10/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/10/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/10/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/10/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/10/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/10/13,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/10/13,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",31/10/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/11/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/11/13,67
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/11/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/11/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/11/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/11/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/11/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/11/13,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/11/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/11/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/11/13,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/11/13,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",13/11/13,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",14/11/13,74
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",15/11/13,65
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",16/11/13,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/11/13,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/11/13,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/11/13,61
